date,L006_RADP_MICROMOLE/m^2/s,L001_RADP_MICROMOLE/m^2/s,L005_RADP_MICROMOLE/m^2/s,LZ40_RADP_MICROMOLE/m^2/s,Mean_RADP
2008-02-22,416.53,335.45,317.24,462.09,382.8275
2008-02-23,381.69,279.28,284.87,403.8,337.41
2008-02-24,324.58,240.04,314.98,352.34,307.985
2008-02-25,395.79,297.12,280.97,456.96,357.71000000000004
2008-02-26,388.35,263.62,357.91,448.21,364.52250000000004
2008-02-27,237.94,64.7,214.48,253.26,192.595
2008-02-28,466.35,320.65,428.17,514.19,432.34000000000003
2008-02-29,412.04,217.77,411.38,489.21,382.6
2008-03-01,436.93,259.25,391.15,476.47,390.95
2008-03-02,457.09,242.58,421.23,469.02,397.48
2008-03-03,356.1,239.14,303.7,410.08,327.255
2008-03-04,284.67,214.98,225.87,318.3,260.955
2008-03-05,391.16,239.74,235.6,449.44,328.985
2008-03-06,330.53,141.15,306.15,370.86,287.1725
2008-03-07,402.34,120.89,315.5,465.84,326.1425
2008-03-08,431.24,371.26,392.15,490.15,421.20000000000005
2008-03-09,473.77,372.01,423.12,531.73,450.1575
2008-03-10,363.72,297.82,307.36,403.61,343.1275
2008-03-11,273.02,221.45,234.37,329.93,264.6925
2008-03-12,405.15,30.01,332.55,444.44,303.0375
2008-03-13,477.35,,420.8,542.2,480.11666666666673
2008-03-14,348.25,,299.55,398.76,348.8533333333333
2008-03-15,446.2,,339.54,546.78,444.17333333333335
2008-03-16,384.47,,331.91,510.1,408.82666666666665
2008-03-17,472.42,,357.95,545.82,458.73
2008-03-18,326.02,,251.04,395.47,324.1766666666667
2008-03-19,434.45,,304.12,501.52,413.3633333333333
2008-03-20,303.14,,246.3,344.52,297.9866666666667
2008-03-21,502.88,,377.29,565.12,481.7633333333333
2008-03-22,179.64,,109.26,154.76,147.88666666666666
2008-03-23,209.04,,227.99,217.16,218.0633333333333
2008-03-24,288.86,,300.96,357.92,315.91333333333336
2008-03-25,479.45,,391.54,564.9,478.62999999999994
2008-03-26,369.75,,384.5,486.13,413.46000000000004
2008-03-27,465.14,,397.79,585.27,482.73333333333335
2008-03-28,446.95,,374.64,479.13,433.57333333333327
2008-03-29,473.36,,398.84,574.47,482.22333333333336
2008-03-30,463.23,,406.0,581.76,483.66333333333336
2008-03-31,408.94,,406.6,587.38,467.64000000000004
2008-04-01,361.0,,373.83,445.58,393.46999999999997
2008-04-02,315.25,,423.06,428.22,388.8433333333333
2008-04-03,456.91,298.32,370.05,533.85,414.7825
2008-04-04,417.48,529.45,387.88,530.64,466.36249999999995
2008-04-05,461.07,520.24,357.45,565.85,476.15250000000003
2008-04-06,372.18,428.06,326.76,461.53,397.1325
2008-04-07,483.72,483.13,373.82,555.71,474.095
2008-04-08,289.24,393.0,273.87,368.45,331.14
2008-04-09,521.62,558.02,418.05,603.12,525.2025
2008-04-10,531.62,574.34,431.99,615.3,538.3125
2008-04-11,506.7,606.0,439.92,621.76,543.595
2008-04-12,527.48,586.03,353.31,585.76,513.145
2008-04-13,436.46,405.08,316.14,450.96,402.15999999999997
2008-04-14,479.57,492.72,402.22,547.5,480.5025
2008-04-15,538.26,606.73,395.63,601.54,535.54
2008-04-16,582.03,622.14,448.8,629.57,570.635
2008-04-17,481.83,563.17,388.42,538.19,492.90250000000003
2008-04-18,475.58,538.31,409.84,548.26,492.99749999999995
2008-04-19,548.92,635.99,458.53,589.14,558.145
2008-04-20,509.01,454.82,336.21,520.71,455.1875
2008-04-21,564.54,632.81,449.71,633.04,570.025
2008-04-22,569.82,621.44,434.03,634.56,564.9625000000001
2008-04-23,584.66,646.55,446.16,650.5,581.9675
2008-04-24,559.99,459.88,470.57,613.33,525.9425
2008-04-25,528.43,539.41,453.29,637.28,539.6025
2008-04-26,503.1,577.92,472.06,644.94,549.505
2008-04-27,563.08,628.58,463.85,594.48,562.4975000000001
2008-04-28,516.67,575.78,395.75,598.33,521.6324999999999
2008-04-29,328.18,291.07,220.36,375.48,303.77250000000004
2008-04-30,571.0,643.65,469.23,640.9,581.195
2008-05-01,586.72,658.96,480.85,656.33,595.715
2008-05-02,493.15,569.88,454.16,614.1,532.8225
2008-05-03,541.77,641.86,492.35,583.24,564.8050000000001
2008-05-04,543.89,605.79,432.47,615.52,549.4175
2008-05-05,509.33,648.68,534.31,654.05,586.5925
2008-05-06,608.61,652.98,536.69,580.83,594.7775
2008-05-07,584.26,624.9,496.78,636.31,585.5625
2008-05-08,515.82,585.04,399.87,574.63,518.84
2008-05-09,485.85,531.36,421.29,488.23,481.6825
2008-05-10,567.66,656.1,467.59,625.81,579.29
2008-05-11,536.42,571.41,449.2,586.91,535.985
2008-05-12,503.53,639.73,496.6,629.81,567.4175
2008-05-13,602.07,646.11,517.3,652.17,604.4125
2008-05-14,597.34,659.79,516.21,647.9,605.3100000000001
2008-05-15,573.99,647.98,515.28,641.4,594.6625
2008-05-16,591.84,627.58,504.35,618.04,585.4525
2008-05-17,476.36,439.8,430.56,546.22,473.235
2008-05-18,582.05,552.98,390.72,522.58,512.0825
2008-05-19,458.99,385.33,318.77,469.67,408.19
2008-05-20,510.85,413.04,340.15,506.45,442.6225
2008-05-21,578.22,601.92,502.06,552.45,558.6624999999999
2008-05-22,290.53,262.37,244.57,324.73,280.55
2008-05-23,449.64,474.95,395.63,479.16,449.84499999999997
2008-05-24,452.71,509.31,435.97,575.98,493.4925
2008-05-25,552.85,581.57,475.76,639.12,562.325
2008-05-26,587.61,682.1,526.87,671.93,617.1274999999999
2008-05-27,453.81,657.33,541.2,629.37,570.4275
2008-05-28,571.71,660.3,523.63,655.75,602.8475
2008-05-29,591.65,673.98,473.33,671.02,602.495
2008-05-30,596.12,669.58,552.17,673.1,622.7425
2008-05-31,518.06,545.58,562.36,584.38,552.595
2008-06-01,585.74,688.04,539.51,661.2,618.6225
2008-06-02,343.23,523.33,432.12,462.8,440.37
2008-06-03,528.54,645.76,519.41,621.75,578.865
2008-06-04,577.98,591.73,552.18,649.53,592.855
2008-06-05,586.98,671.52,552.75,672.93,621.045
2008-06-06,558.65,650.55,547.54,669.4,606.535
2008-06-07,585.87,670.31,541.05,658.6,613.9575
2008-06-08,454.38,609.92,503.94,574.36,535.65
2008-06-09,268.3,278.01,312.63,307.41,291.5875
2008-06-10,583.62,655.11,525.74,649.04,603.3775
2008-06-11,520.45,665.99,559.82,569.28,578.885
2008-06-12,468.04,415.02,491.92,480.87,463.9625
2008-06-13,547.26,388.82,540.88,479.6,489.14
2008-06-14,712.87,640.86,564.89,585.77,626.0975
2008-06-15,653.24,662.17,560.76,633.75,627.48
2008-06-16,569.76,636.27,474.34,560.99,560.3399999999999
2008-06-17,559.38,516.66,525.15,521.03,530.5550000000001
2008-06-18,356.74,306.54,244.33,347.37,313.745
2008-06-19,578.03,468.52,427.83,464.86,484.80999999999995
2008-06-20,471.08,456.67,409.68,450.39,446.95500000000004
2008-06-21,394.48,335.52,277.99,348.19,339.045
2008-06-22,547.62,504.53,400.0,494.54,486.6725
2008-06-23,581.85,540.93,257.83,500.97,470.395
2008-06-24,396.5,493.58,11.36,395.74,324.29499999999996
2008-06-25,439.19,427.53,17.41,381.53,316.41499999999996
2008-06-26,201.91,332.21,12.0,199.41,186.3825
2008-06-27,629.77,576.56,178.42,535.54,480.0725
2008-06-28,596.69,591.46,2.55,527.77,429.6175
2008-06-29,458.9,581.64,13.75,442.43,374.18
2008-06-30,484.6,572.14,1.83,477.64,384.0525
2008-07-01,610.84,501.07,11.12,516.24,409.8175
2008-07-02,413.7,469.15,20.01,363.63,316.62249999999995
2008-07-03,311.13,478.09,205.04,392.72,346.745
2008-07-04,523.25,562.41,1.06,489.68,394.09999999999997
2008-07-05,635.13,650.59,1.05,576.68,465.86249999999995
2008-07-06,313.34,542.93,313.75,203.93,343.4875
2008-07-07,601.95,519.52,0.2,499.87,405.385
2008-07-08,575.43,543.17,520.81,480.82,530.0575
2008-07-09,678.48,551.15,0.15,543.1,443.22
2008-07-10,650.22,563.5,0.29,534.81,437.205
2008-07-11,601.52,641.14,2.39,481.74,431.6975
2008-07-12,354.36,344.19,192.73,235.47,281.6875
2008-07-13,519.71,431.51,234.46,450.33,409.0025
2008-07-14,494.99,457.26,247.07,448.26,411.895
2008-07-15,456.72,474.29,32.01,454.95,354.4925
2008-07-16,196.56,262.18,161.04,197.34,204.28
2008-07-17,567.88,413.85,7.59,519.77,377.27250000000004
2008-07-18,611.02,563.66,28.86,537.93,435.36749999999995
2008-07-19,520.69,525.02,55.89,474.02,393.90500000000003
2008-07-20,657.64,663.79,53.5,607.94,495.7175
2008-07-21,636.19,644.47,77.45,587.11,486.30500000000006
2008-07-22,316.35,429.53,0.0,448.25,298.5325
2008-07-23,304.43,554.52,,526.73,461.8933333333334
2008-07-24,525.45,467.53,480.88,430.11,475.99250000000006
2008-07-25,484.52,360.14,504.29,488.99,459.485
2008-07-26,630.27,584.19,517.12,607.95,584.8824999999999
2008-07-27,526.16,224.27,434.98,510.75,424.03999999999996
2008-07-28,484.94,578.19,367.21,496.84,481.795
2008-07-29,551.8,440.08,408.99,575.27,494.03499999999997
2008-07-30,462.76,280.74,175.66,564.24,370.85
2008-07-31,558.45,472.26,195.98,572.83,449.88
2008-08-01,515.82,533.2,273.18,613.64,483.96000000000004
2008-08-02,537.06,532.96,189.59,580.87,460.12
2008-08-03,512.12,226.85,270.85,496.87,376.6725
2008-08-04,184.46,321.79,163.0,296.95,241.55
2008-08-05,378.09,285.8,312.04,289.3,316.3075
2008-08-06,495.66,202.87,230.77,429.69,339.7475
2008-08-07,639.19,586.58,174.42,534.1,483.5725
2008-08-08,277.83,358.34,267.33,273.88,294.345
2008-08-09,310.74,366.63,253.36,420.83,337.89
2008-08-10,283.46,504.67,348.71,506.01,410.7125
2008-08-11,414.2,465.45,427.63,473.05,445.0825
2008-08-12,273.04,359.25,284.72,396.15,328.28999999999996
2008-08-13,385.83,383.3,495.11,447.09,427.8325
2008-08-14,446.66,291.9,348.43,357.24,361.0575
2008-08-15,478.32,275.43,498.07,459.8,427.905
2008-08-16,555.08,138.13,165.54,495.31,338.515
2008-08-17,502.15,514.7,357.39,443.93,454.5425
2008-08-18,85.63,77.68,58.16,82.24,75.9275
2008-08-19,58.05,67.35,52.13,54.49,58.005
2008-08-20,283.35,323.33,244.64,246.98,274.575
2008-08-21,377.58,834.38,424.77,375.4,503.0325
2008-08-22,237.78,344.86,200.37,237.14,255.0375
2008-08-23,509.42,1114.1,157.04,471.99,563.1375
2008-08-24,573.15,1063.89,352.32,530.38,629.935
2008-08-25,472.75,1070.73,316.32,444.79,576.1475
2008-08-26,384.59,,282.75,380.32,349.21999999999997
2008-08-27,557.27,327.94,334.98,494.25,428.61
2008-08-28,578.03,433.65,352.16,498.13,465.49249999999995
2008-08-29,554.38,113.04,391.74,500.04,389.79999999999995
2008-08-30,250.74,352.55,346.88,296.2,311.5925
2008-08-31,251.84,247.49,290.45,254.61,261.09749999999997
2008-09-01,470.24,56.82,248.62,481.16,314.21000000000004
2008-09-02,504.95,119.88,431.08,479.36,383.8175
2008-09-03,566.01,10.2,469.26,506.38,387.9625
2008-09-04,363.84,100.97,219.73,379.27,265.9525
2008-09-05,253.01,25.78,133.14,426.01,209.48499999999999
2008-09-06,568.06,316.5,290.34,738.34,478.30999999999995
2008-09-07,590.9,114.65,255.48,539.86,375.22249999999997
2008-09-08,505.21,549.81,556.23,497.37,527.155
2008-09-09,334.65,653.82,419.12,391.34,449.7325
2008-09-10,89.84,639.27,262.96,269.56,315.40749999999997
2008-09-11,379.99,953.74,429.67,485.95,562.3375
2008-09-12,185.88,616.51,417.08,500.29,429.94
2008-09-13,244.08,879.31,399.08,534.91,514.3449999999999
2008-09-14,192.18,677.96,471.75,498.91,460.20000000000005
2008-09-15,450.82,464.87,402.0,510.68,457.09250000000003
2008-09-16,497.0,947.83,403.51,510.93,589.8175
2008-09-17,527.5,532.14,403.7,568.26,507.9
2008-09-18,445.8,79.88,393.64,439.19,339.6275
2008-09-19,549.56,456.96,549.47,578.06,533.5125
2008-09-20,571.86,465.32,563.47,594.56,548.8025
2008-09-21,526.93,183.59,514.48,560.39,446.34749999999997
2008-09-22,484.9,258.18,477.97,526.94,436.9975
2008-09-23,318.67,303.93,264.78,322.66,302.51
2008-09-24,334.36,266.47,396.62,394.08,347.8825
2008-09-25,508.1,262.19,505.28,518.95,448.63
2008-09-26,344.93,354.83,459.44,428.91,397.02750000000003
2008-09-27,246.69,59.26,382.44,312.08,250.1175
2008-09-28,163.38,79.69,196.0,183.88,155.7375
2008-09-29,497.44,304.99,471.93,528.97,450.83250000000004
2008-09-30,129.36,78.73,116.85,147.98,118.23000000000002
2008-10-01,451.34,675.96,501.72,524.31,538.3325
2008-10-02,460.28,850.97,503.59,517.71,583.1375
2008-10-03,460.98,678.6,500.12,506.93,536.6574999999999
2008-10-04,216.81,358.87,192.26,230.83,249.69250000000002
2008-10-05,331.2,610.58,306.65,346.81,398.80999999999995
2008-10-06,154.86,493.11,400.68,374.17,355.70500000000004
2008-10-07,190.71,1060.31,431.55,432.18,528.6875
2008-10-08,213.14,770.47,498.56,508.62,497.6975
2008-10-09,118.93,742.78,312.71,287.45,365.46750000000003
2008-10-10,214.5,887.57,490.93,511.91,526.2275000000001
2008-10-11,460.48,383.7,459.95,521.93,456.515
2008-10-12,182.15,748.01,444.93,428.9,450.99749999999995
2008-10-13,210.71,321.03,296.24,294.79,280.6925
2008-10-14,396.95,906.07,413.59,446.64,540.8125
2008-10-15,412.94,585.45,469.47,488.55,489.1025
2008-10-16,436.12,686.95,600.48,497.41,555.24
2008-10-17,445.85,711.1,456.39,480.92,523.565
2008-10-18,428.78,784.69,428.85,468.87,527.7975
2008-10-19,436.56,700.59,419.29,447.58,501.005
2008-10-20,224.44,368.57,221.53,299.45,278.4975
2008-10-21,408.26,773.97,443.44,462.16,521.9575
2008-10-22,296.16,592.08,310.92,343.42,385.64500000000004
2008-10-23,239.82,263.79,199.59,263.58,241.695
2008-10-24,160.42,529.35,364.1,178.66,308.1325
2008-10-25,336.12,434.3,403.41,260.3,358.5325
2008-10-26,376.69,611.38,1079.65,408.33,619.0125
2008-10-27,422.16,914.77,1191.04,453.76,745.4325000000001
2008-10-28,431.52,217.44,1074.08,457.77,545.2025
2008-10-29,399.85,426.74,1088.42,411.18,581.5475
2008-10-30,367.03,315.44,1003.56,412.56,524.6475
2008-10-31,378.28,289.91,959.5,372.6,500.0725
2008-11-01,253.56,72.26,681.78,283.92,322.88
2008-11-02,287.27,131.15,818.29,320.61,389.33000000000004
2008-11-03,400.89,899.18,976.54,434.38,677.7475
2008-11-04,204.52,104.0,476.25,228.67,253.35999999999999
2008-11-05,398.3,54.5,943.47,392.22,447.1225
2008-11-06,389.43,104.54,888.35,409.02,447.83500000000004
2008-11-07,378.28,356.53,1229.95,412.95,594.4275
2008-11-08,369.16,335.76,962.95,396.27,516.0350000000001
2008-11-09,365.89,200.97,703.54,402.31,418.1775
2008-11-10,395.83,144.0,888.13,411.5,459.865
2008-11-11,379.15,37.17,824.47,408.81,412.4
2008-11-12,283.87,64.16,408.77,272.77,257.3925
2008-11-13,370.55,223.34,460.21,390.48,361.145
2008-11-14,323.08,158.05,781.63,393.3,414.015
2008-11-15,361.8,258.15,644.0,380.93,411.22
2008-11-16,389.6,346.0,867.93,406.51,502.51
2008-11-17,394.96,275.38,832.31,400.95,475.9
2008-11-18,389.43,309.12,496.6,394.42,397.39250000000004
2008-11-19,377.93,346.5,330.02,391.65,361.525
2008-11-20,379.07,164.59,211.58,389.53,286.1925
2008-11-21,361.26,82.9,231.24,367.49,260.72249999999997
2008-11-22,366.54,319.02,179.68,381.89,311.7825
2008-11-23,310.71,281.13,194.69,314.06,275.1475
2008-11-24,357.04,273.04,263.22,370.45,315.9375
2008-11-25,348.74,309.47,283.0,325.98,316.7975
2008-11-26,369.7,335.12,263.25,377.59,336.41499999999996
2008-11-27,355.51,318.15,269.56,365.09,327.0775
2008-11-28,359.48,326.71,266.09,359.93,328.0525
2008-11-29,359.92,328.05,280.34,323.7,323.0025
2008-11-30,204.98,172.27,114.85,226.03,179.5325
2008-12-01,202.77,50.41,179.18,239.51,167.9675
2008-12-02,288.53,282.73,198.74,340.05,277.5125
2008-12-03,327.62,231.19,154.38,321.87,258.765
2008-12-04,315.94,347.63,225.82,334.21,305.9
2008-12-05,340.93,388.71,255.18,357.53,335.5875
2008-12-06,340.47,0.24,179.97,337.13,214.45250000000001
2008-12-07,311.49,0.37,203.32,332.27,211.8625
2008-12-08,334.29,0.73,248.09,352.09,233.8
2008-12-09,338.22,0.52,205.47,346.05,222.565
2008-12-10,340.6,1.07,235.82,312.17,222.41500000000002
2008-12-11,42.82,0.07,28.2,40.1,27.7975
2008-12-12,268.19,0.21,159.07,304.63,183.02499999999998
2008-12-13,249.99,0.61,181.11,265.33,174.26
2008-12-14,198.35,1.97,124.4,248.2,143.23000000000002
2008-12-15,173.78,8.15,128.29,196.53,126.6875
2008-12-16,236.12,213.28,224.97,262.6,234.2425
2008-12-17,256.71,188.29,103.39,271.16,204.8875
2008-12-18,301.08,262.06,297.66,301.17,290.4925
2008-12-19,325.42,339.05,294.25,355.01,328.4325
2008-12-20,325.7,330.94,258.48,345.68,315.2
2008-12-21,331.02,209.45,277.5,351.54,292.3775
2008-12-22,222.71,204.91,190.41,304.2,230.5575
2008-12-23,237.58,219.51,268.98,289.01,253.77
2008-12-24,228.14,246.62,215.72,245.17,233.9125
2008-12-25,293.54,220.89,231.99,249.22,248.91000000000003
2008-12-26,336.23,176.76,286.2,353.56,288.1875
2008-12-27,316.85,291.99,397.21,344.05,337.525
2008-12-28,315.52,313.36,287.17,341.78,314.4575
2008-12-29,358.56,288.48,284.38,327.11,314.6325
2008-12-30,348.81,184.0,278.05,359.91,292.6925
2008-12-31,449.03,158.46,165.05,358.64,282.79499999999996
2009-01-01,653.27,275.92,251.87,338.2,379.815
2009-01-02,350.08,250.57,276.7,305.94,295.8225
2009-01-03,324.2,267.9,281.43,326.06,299.8975
2009-01-04,294.22,276.45,343.28,299.54,303.3725
2009-01-05,330.18,248.05,756.47,345.21,419.9775
2009-01-06,353.99,277.65,339.7,341.24,328.145
2009-01-07,259.97,207.61,189.94,262.1,229.905
2009-01-08,660.1,283.58,309.71,366.01,404.85
2009-01-09,692.58,269.77,333.57,373.54,417.365
2009-01-10,344.45,286.42,309.64,352.99,323.375
2009-01-11,396.18,272.41,344.08,358.96,342.9075
2009-01-12,278.11,232.37,218.79,287.66,254.23250000000002
2009-01-13,141.91,100.1,115.65,136.42,123.51999999999998
2009-01-14,324.06,186.19,255.42,323.17,272.21
2009-01-15,191.16,44.2,77.8,131.76,111.23
2009-01-16,550.6,206.2,222.11,242.83,305.435
2009-01-17,831.18,207.68,234.72,375.3,412.21999999999997
2009-01-18,546.86,274.09,329.21,342.87,373.25750000000005
2009-01-19,353.26,193.83,319.84,331.33,299.565
2009-01-20,515.54,166.33,306.88,351.07,334.955
2009-01-21,500.98,254.88,341.32,374.53,367.9275
2009-01-22,828.15,195.57,317.27,370.32,427.8275
2009-01-23,395.01,211.34,227.62,376.41,302.595
2009-01-24,364.55,310.37,122.44,357.63,288.74750000000006
2009-01-25,362.05,277.0,294.52,359.21,323.195
2009-01-26,340.23,314.2,359.7,386.13,350.06500000000005
2009-01-27,250.36,304.2,280.33,254.4,272.3225
2009-01-28,398.73,279.63,338.58,390.7,351.91
2009-01-29,419.13,302.19,334.94,392.9,362.28999999999996
2009-01-30,112.92,76.69,43.31,96.97,82.4725
2009-01-31,443.36,189.82,364.79,423.38,355.3375
2009-02-01,405.61,347.59,361.52,352.69,366.8525
2009-02-02,204.45,92.91,211.0,400.59,227.2375
2009-02-03,416.96,338.06,365.82,971.74,523.145
2009-02-04,412.25,417.21,325.91,951.67,526.76
2009-02-05,445.12,430.44,381.55,1027.87,571.2449999999999
2009-02-06,437.68,363.54,360.53,970.19,532.985
2009-02-07,273.67,157.57,275.12,627.35,333.4275
2009-02-08,396.83,280.01,403.27,922.62,500.6825
2009-02-09,425.96,291.34,555.7,942.9,553.975
2009-02-10,382.75,293.51,369.27,416.0,365.3825
2009-02-11,370.17,376.01,429.58,443.28,404.76
2009-02-12,459.63,245.25,460.15,459.46,406.1225
2009-02-13,459.06,390.16,412.91,454.8,429.2325
2009-02-14,462.08,355.86,474.01,456.25,437.05
2009-02-15,418.68,327.24,355.4,429.75,382.76750000000004
2009-02-16,454.16,393.03,401.64,449.18,424.5025
2009-02-17,479.33,380.26,392.11,480.89,433.1474999999999
2009-02-18,482.43,347.93,402.01,477.73,427.525
2009-02-19,441.4,291.37,180.14,455.17,342.02
2009-02-20,484.64,327.32,395.3,481.05,422.0775
2009-02-21,475.3,339.23,439.25,474.1,431.97
2009-02-22,463.55,316.04,421.06,459.92,415.14250000000004
2009-02-23,420.19,311.66,322.36,429.59,370.95
2009-02-24,468.25,106.91,406.85,480.62,365.6575
2009-02-25,448.86,332.29,446.55,496.53,431.0575
2009-02-26,431.26,263.64,460.76,500.74,414.09999999999997
2009-02-27,464.03,400.69,443.32,470.84,444.71999999999997
2009-02-28,489.13,354.22,444.76,490.95,444.76500000000004
2009-03-01,325.62,303.19,211.84,350.66,297.8275
2009-03-02,490.86,329.58,252.39,492.45,391.32
2009-03-03,514.98,424.95,295.65,518.53,438.5275
2009-03-04,388.7,204.19,212.83,377.02,295.685
2009-03-05,475.93,428.24,419.8,524.13,462.025
2009-03-06,356.66,425.31,423.39,472.29,419.4125
2009-03-07,484.73,299.92,467.07,510.24,440.49
2009-03-08,474.63,401.75,361.37,477.58,428.8325
2009-03-09,504.31,391.78,475.47,505.95,469.3775
2009-03-10,539.97,438.32,460.69,528.29,491.8175
2009-03-11,493.03,408.41,503.89,519.76,481.2725
2009-03-12,487.21,353.91,490.27,496.34,456.93249999999995
2009-03-13,515.12,338.29,458.58,505.92,454.4775
2009-03-14,474.83,378.74,398.01,506.64,439.55499999999995
2009-03-15,544.1,429.48,505.94,550.84,507.59000000000003
2009-03-16,521.27,409.77,501.58,535.53,492.03749999999997
2009-03-17,416.31,258.61,211.73,389.63,319.07000000000005
2009-03-18,182.35,150.54,182.77,233.38,187.26
2009-03-19,515.83,213.96,425.34,481.6,409.1825
2009-03-20,552.09,381.54,407.78,536.17,469.395
2009-03-21,305.1,120.56,246.28,264.05,233.9975
2009-03-22,575.08,214.79,383.29,562.29,433.8625
2009-03-23,469.8,200.59,288.5,424.36,345.8125
2009-03-24,578.55,288.14,527.08,591.61,496.345
2009-03-25,584.28,250.97,510.96,571.55,479.44
2009-03-26,582.12,308.05,452.01,577.82,480.0
2009-03-27,494.67,323.94,312.48,523.3,413.5975
2009-03-28,487.41,300.32,258.17,505.11,387.75250000000005
2009-03-29,237.53,119.75,77.56,227.65,165.6225
2009-03-30,545.07,366.34,481.21,556.62,487.31000000000006
2009-03-31,513.13,313.96,296.64,541.62,416.3375
2009-04-01,482.31,267.99,302.61,455.41,377.08
2009-04-02,464.88,352.16,287.32,474.95,394.8275
2009-04-03,220.1,69.49,94.46,234.77,154.70499999999998
2009-04-04,551.13,227.66,267.04,550.36,399.0475
2009-04-05,546.17,265.35,379.19,544.25,433.74
2009-04-06,534.36,321.2,355.66,553.03,441.0625
2009-04-07,502.25,263.03,247.98,501.52,378.695
2009-04-08,631.6,308.74,385.28,617.71,485.8325
2009-04-09,630.8,319.96,271.99,616.49,459.81
2009-04-10,438.21,305.89,314.57,471.16,382.4575
2009-04-11,539.74,283.71,352.15,515.66,422.81499999999994
2009-04-12,599.99,357.88,207.98,597.67,440.88
2009-04-13,530.78,369.34,371.76,569.29,460.29249999999996
2009-04-14,331.31,267.52,261.28,370.83,307.73499999999996
2009-04-15,449.96,251.44,327.99,506.59,383.99499999999995
2009-04-16,654.89,19.41,490.63,644.02,452.23749999999995
2009-04-17,543.4,24.1,430.34,544.46,385.575
2009-04-18,545.78,14.91,356.6,586.69,375.995
2009-04-19,636.7,27.0,504.71,626.28,448.6725
2009-04-20,471.19,26.65,313.38,474.71,321.4825
2009-04-21,612.51,20.71,425.07,603.39,415.41999999999996
2009-04-22,639.51,16.75,397.09,647.59,425.235
2009-04-23,654.4,17.04,368.63,644.06,421.03249999999997
2009-04-24,645.06,15.54,525.56,640.25,456.60249999999996
2009-04-25,613.25,12.92,232.3,635.64,373.52750000000003
2009-04-26,661.17,6.66,216.46,653.57,384.46500000000003
2009-04-27,631.47,18.06,305.13,645.32,399.995
2009-04-28,621.88,11.02,246.42,661.58,385.225
2009-04-29,556.69,33.49,320.56,620.45,382.7975
