n,Description,Par_NO,Par_Chla,Par_NS_RMSE,Par_NSTemp_Mix,Par_NSTemp_4Chla,Par_Chlaalt2,Par_Chlaalt1,Par_NOR2=0.55,Par_XX,Par_ChlaTrials,Par_wet,Par_Peak_Chla30,Par_Peak_Chla20,Par_Chla0.34,Par__,Par_NO_LitValues,Chla_R20.37alt2,Chla_R2=0.26,R2=0.55,Par_E,Par_F,Par_C,Par_S,Par_X,Par_Z,Par_Chlaxxx,Par_3,Par_2,Par_0,Par_1,Par_RMSE,Par_R2=0.48,Par_Chlaxxxx,Par_alt1opt1,Par_alt1opt2,Par_alt2opt1,Par_alt2opt2,Par_ChlaAllAlt2Opt2,Alt2Opt1_16,Alt1Opt1_0816,,Chla,Chla_alt3,Chla_alt3_Stage,Chla_alt3_T_widrng,Chla_alt3_RAD_Units,Chla_fL(alt2),Chla_alt2_Io=RADP,Chla_fT_alt3,,Lit Values
10,K_Nitr,85.29836071,467.2451788,395.5292795,467.2451788,83.56927158,106.5837441,467.2451788,85.29836071,155.1355167,480,155.1355167,277.5613317,110.5059827,442.7662263,145.8529801,145.8529801,35,99.89244339,216.2177451,150.3918722,200,207.0139773,281.1001085,500.374547,580.4525289,183.9443981,183.9443981,183.9443981,,,580.4525289,580.4525289,,207.0139773,402.4340589,286.3866991,281.1001085,356.3736115,10.64466529,216.2177451,,0.001000015,39.53399688,35.77435498,48.10984926,21.48175645,0.057688975,0.014530806,0.000103515,0.058601498,145.8529801
11,KP,17.02707574,83.59271326,47.99702692,83.59271326,52.49634105,60.31561532,83.59271326,17.02707574,74.16044072,100,74.16044072,109.7767654,30.5189173,68.00195825,16.32477415,16.32477415,11,4.235860146,27.9183157,23.72647985,19.98947522,4.661915428,4.880644884,5.538384184,5.51648385,3.968870025,3.968870025,3.968870025,,,5.51648385,5.51648385,,4.661915428,1.447339558,4.949009884,4.880644884,5.214178608,55.57938738,27.9183157,,0.001001171,0.001006953,0.001000846,0.000100038,0.000100015,0.018022135,0.032174701,0.001033725,0.001002912,16.32477415
12,K_TN,461.7979165,461.7979165,461.7979165,461.7979165,,,461.7979165,461.7979165,423.9070661,600,423.9070661,423.9070661,423.9070661,423.9070661,423.9070661,423.9070661,893.5439964,893.5439964,893.5439964,300,175,808.3778791,100.1351471,112.1547088,999.8149495,216.3365075,216.3365075,216.3365075,25,25,999.8149495,999.8149495,,808.3778791,793.437717,260.2357382,100.1351471,810.3507801,5.191774111,893.5439964,,0.057030946,0.001018598,0.001000515,0.000113455,0.000100167,0.001000003,0.001006448,,,423.9070661
13,YNOChla,15.42468429,15.42468429,15.42468429,15.42468429,,,15.42468429,15.42468429,20.39157353,20.39157353,20.39157353,20.39157353,20.39157353,20.39157353,20.39157353,20.39157353,246.1012015,246.1012015,246.1012015,287.8330341,49.12103768,197.089359,202.6068622,238.1113956,240.6010812,57.05683071,57.05683071,57.05683071,10,10,240.6010812,240.6010812,,197.089359,97.15605095,286.5271432,202.6068622,278.6417756,15.25904947,246.1012015,,,0.040082981,0.056707819,0.05150694,0.027789447,,,,,20.39157353
14,T_Opt,29.99680046,29.99969168,29.99996819,29.99969168,29.78992495,29.78992495,29.99969168,29.99680046,26,27.4,29.99979566,26.63494234,29.99988199,29.99999773,29.99666588,29.99666588,38.36832897,38.36832897,34.99792592,32,29,29.8,29.94523049,28.43063968,29.9997531,29.99994564,29.9999997,29.9999997,29.99965557,29.99965557,29.9997531,29.9997531,29.99994564,29.96308706,29.99815944,28.28279354,29.94523049,21.6370693,0.896448911,34.99792592,,,,,,,,,,,29.99666588
15,T_min,11.81041188,18.78261945,18.11053669,18.78261945,13.28660612,13.28660612,18.78261945,11.81041188,21,26,19.99921148,10.02193581,11.60135647,18.5718269,12.75216747,12.75216747,21.20379432,21.20379432,10.81923375,14.79249641,14.99367213,14.99367213,14.99751871,,14.99963245,14.99998983,14.99995693,14.99995693,14.99902338,14.99902338,14.99963245,14.99963245,14.99998983,14.99367213,14.99751871,14.99751871,14.99751871,14.99751871,27.38361067,10.81923375,,,,,,,,,,,12.75216747
16,T_max,33.99888448,33.99614588,33.99895058,33.99614588,32.37050326,32.37050326,33.99614588,33.99888448,33,31,33.99512362,33.56580537,32.75623906,33.99995438,33.99044901,33.99044901,48.10984926,48.10984926,37.73774032,27.78275167,39.89038886,39.89038886,39.99192848,,39.99996526,39.21012402,39.99995779,39.99995779,39.98123789,39.98123789,39.99996526,39.99996526,39.21012402,39.89038886,39.99192848,39.99192848,39.99192848,39.99192848,2.486979558,37.73774032,,,,,,,,,,,33.99044901
17,KDO,6.658719074,6.658719074,6.658719074,6.658719074,6.658719074,6.658719074,6.658719074,6.658719074,7.401244171,7.401244171,7.401244171,7.401244171,7.401244171,7.401244171,7.401244171,7.401244171,5.081458167,5.081458167,5.081458167,4.493134592,2.765143412,5.122609378,4.970220324,4.11837043,8.48330465,2.07471396,2.07471396,2.07471396,,,8.48330465,8.48330465,,5.122609378,6.178281668,1.015455252,4.970220324,1.310850738,0.001041214,5.081458167,,,,,,,,,,,7.401244171
18,S_NO,0.002792712,0.002792712,0.002792712,0.002792712,0.002792712,0.002792712,0.002792712,0.002792712,0.001378448,0.001378448,0.001378448,0.001378448,0.001378448,0.001378448,0.001378448,0.001378448,0.004894572,0.004894572,0.004894572,0.001418088,0.001389172,0.017386111,0.006772535,1.65E-05,0.000455363,7.58E-05,7.58E-05,7.58E-05,,0.007288163,0.000455363,0.000455363,,0.017386111,0.019417048,0.000640796,0.006772535,1.976698179,,0.004894572,,,,,,,,,,,0.001378448
19,fox_min,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.540621759,0.919606289,0.919606289,0.169445023,0.919606289,0.540621759,0.184257015,0.184257015,0.184257015,,0.1,0.540621759,0.540621759,,0.919606289,0.195099593,0.195099593,0.169445023,0.502276332,,,,,,,,,,,,,
20,DO_Cr_n,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.042148565,6.394533163,6.394533163,5.212325093,6.394533163,6.042148565,3.522213003,3.522213003,3.522213003,,2.908031723,6.042148565,6.042148565,,6.394533163,3.518642881,3.518642881,5.212325093,2.28960169,,,,,,,,,,,,,
21,DO_Opt_n,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,8.12498844,7.345564631,7.345564631,7.397375004,7.345564631,8.12498844,8.875725139,8.875725139,8.875725139,,5.926847293,8.12498844,8.12498844,,7.345564631,8.615733112,8.615733112,7.397375004,9.156901154,,,,,,,,,,,,,
22,a,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.954876148,0.217232193,0.217232193,0.188098633,0.217232193,0.954876148,0.894767344,0.894767344,0.894767344,,0.75,0.954876148,0.954876148,,0.217232193,0.381492595,0.381492595,0.188098633,0.440808479,,,,,,,,,,,,,
23,DO_Cr_d,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,8.526947013,5.383673485,5.383673485,3.993193636,5.383673485,8.526947013,6.704372311,6.704372311,6.704372311,,3,8.526947013,8.526947013,,5.383673485,2.655834498,2.655834498,3.993193636,4.216771272,,,,,,,,,,,,,
24,DO_Opt_d,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,8.606378367,6.842918214,6.842918214,8.728564329,6.842918214,8.606378367,5.779150372,5.779150372,5.779150372,,4.410646746,8.606378367,8.606378367,,6.842918214,9.286304166,9.286304166,8.728564329,6.97527594,,,,,,,,,,,,,
25,K_r,0.005004227,0.008772778,0.079876611,0.008772778,0.046022058,0.010729734,0.008772778,0.005004227,0.005004227,0.005,0.005004227,0.052376249,0.005007293,0.005,0.02,0.02,0.02,0.000113455,0.012,0.0045,0.075,0.001,0.023233471,0.075,0.075,6.20E-08,0.02,0.02,0,0,0.0001,0.02,6.20E-08,0.075,0.075,0.075,0.075,2.42E-08,,,,,,,,,,,,,
26,YNHChla,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,,,,,,,,,,,,,
27,k_m,0.005001625,0.006469348,0.079862696,0.006469348,0.005140742,0.075630699,0.006469348,0.005001625,0.005001625,0.005,0.005001625,0.011779383,0.00500148,0.005,0.02,0.02,0.02,0.000100038,0.012,0.0045,0.02,0.001,0.018701689,0.02,0.02,1.34E-07,0.02,0.02,0,0,0.0001,0.02,1.34E-07,0.02,0.02,0.02,0.02,6.48E-06,,,,,,,,,,,,,
28,vc,0.03629777,0.005001766,0.079977948,0.005001766,0.006437964,0.06154335,0.005001766,0.03629777,0.03629777,0.05,0.03629777,0.005593889,0.013366403,0.005,0.05,0.05,0.04,0.05150694,0.01,0.01,0.045,0,0.000104031,0.045,0.045,0.019227301,0.029205987,,,,0.029205987,0.029205987,0.019227301,0.045,0.045,0.045,0.045,0.010746832,,,,,,,,,,,,,
29,KTg1,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,8.147317651,6.216013459,6.216013459,2.999968541,8.147317651,2.999968541,,,,,,,,,,2.999968541,2.999968541,5.718250323,8.147317651,3.448422967,,,,,,,,,,,,,
30,KTg2,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,6.179163683,0.218981239,0.218981239,2.999592416,6.179163683,2.999592416,,,,,,,,,,2.999592416,2.999592416,7.481431762,6.179163683,9.332549064,,,,,,,,,,,,,
31,Im,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,468.7793554,350,468.7793554,468.7793554,495.8636436,495.8636436,265.1424635,468.7793554,265.1424635,,,,,,,,,,265.1424635,265.1424635,100.2419804,468.7793554,429.7860598,,,,,,,,,,,,,
32,T_ref,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,T_min2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,T_opt_N,25,25,25,28.9939573,28.9939573,25,25,25,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,T_opt_S,26,26,26,27.99017557,27.99017557,26,26,26,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,T_min_N,20,20,20,16.02459666,16.02459666,20,20,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,T_min_S,22,22,22,18.00008149,18.00008149,22,22,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,T_max_N,33,33,33,31.42702475,31.42702475,33,33,33,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,T_max_S,33,33,33,32.97334081,32.97334081,33,33,33,33,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Kw_N,0.7,0.7,0.7,1.847171577,1.847171577,0.7,0.7,0.7,0.7,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Kc_N,0.06,0.06,0.06,0.065078759,0.065078759,0.06,0.06,0.06,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,K1_N,87.61410532,87.61410532,87.61410532,104.9613822,104.9613822,87.61410532,87.61410532,87.61410532,87.61410532,87.61410532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,K2_N,744.2191926,744.2191926,744.2191926,744.4794744,744.4794744,744.2191926,744.2191926,744.2191926,744.2191926,744.2191926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,G_max_N,6.598989942,6.598989942,6.598989942,9.443970767,9.443970767,6.598989942,6.598989942,6.598989942,6.598989942,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Kw_S,0.9,0.9,0.9,1.193887026,1.193887026,0.9,0.9,0.9,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Kc_S,0.07,0.07,0.07,0.079911452,0.079911452,0.07,0.07,0.07,0.07,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,K1_S,87.61410532,87.61410532,87.61410532,119.8923994,119.8923994,87.61410532,87.61410532,87.61410532,87.61410532,87.61410532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,K2_S,744.2191926,744.2191926,744.2191926,716.8683982,716.8683982,744.2191926,744.2191926,744.2191926,744.2191926,744.2191926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,G_max_S,6.598989942,6.598989942,6.598989942,1.774420149,1.774420149,6.598989942,6.598989942,6.598989942,6.598989942,3.694552817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,S_NH4,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
