,Leap Year,,Normal Year
3/19/2020,428.8888889,3/20/2019,379.3333333
3/20/2020,379.3333333,3/21/2019,345.5555556
3/21/2020,345.5555556,3/22/2019,369.2222222
3/22/2020,369.2222222,3/23/2019,399.7777778
3/23/2020,399.7777778,3/24/2019,401.1111111
3/24/2020,401.1111111,3/25/2019,412.4444444
3/25/2020,412.4444444,3/26/2019,443.5555556
3/26/2020,443.5555556,3/27/2019,399.4444444
3/27/2020,399.4444444,3/28/2019,300.2222222
3/28/2020,300.2222222,3/29/2019,365.4444444
3/29/2020,365.4444444,3/30/2019,408.8888889
3/30/2020,408.8888889,3/31/2019,395.3333333
3/31/2020,395.3333333,4/1/2019,380.6666667
4/1/2020,380.6666667,4/2/2019,356.6666667
4/2/2020,356.6666667,4/3/2019,367.8888889
4/3/2020,367.8888889,4/4/2019,362.2222222
4/4/2020,362.2222222,4/5/2019,350.6666667
4/5/2020,350.6666667,4/6/2019,335.6666667
4/6/2020,335.6666667,4/7/2019,316.8888889
4/7/2020,316.8888889,4/8/2019,225.4444444
4/8/2020,225.4444444,4/9/2019,200.5555556
4/9/2020,200.5555556,4/10/2019,227.7777778
4/10/2020,227.7777778,4/11/2019,181.8888889
4/11/2020,181.8888889,4/12/2019,233.7777778
4/12/2020,233.7777778,4/13/2019,203.1111111
4/13/2020,203.1111111,4/14/2019,232.7777778
4/14/2020,232.7777778,4/15/2019,205.1111111
4/15/2020,205.1111111,4/16/2019,201.2222222
4/16/2020,201.2222222,4/17/2019,240.6666667
4/17/2020,240.6666667,4/18/2019,243.2222222
4/18/2020,243.2222222,4/19/2019,230.7777778
4/19/2020,230.7777778,4/20/2019,343.4444444
4/20/2020,343.4444444,4/21/2019,332
4/21/2020,332,4/22/2019,364.6666667
4/22/2020,364.6666667,4/23/2019,404.1111111
4/23/2020,404.1111111,4/24/2019,405
4/24/2020,405,4/25/2019,269.3333333
4/25/2020,269.3333333,4/26/2019,267.1111111
4/26/2020,267.1111111,4/27/2019,363.2222222
4/27/2020,363.2222222,4/28/2019,321.6666667
4/28/2020,321.6666667,4/29/2019,331
4/29/2020,331,4/30/2019,244.1111111
4/30/2020,244.1111111,5/1/2019,298.4444444
5/1/2020,298.4444444,5/2/2019,358.2222222
5/2/2020,358.2222222,5/3/2019,395.5555556
5/3/2020,395.5555556,5/4/2019,447.6666667
5/4/2020,447.6666667,5/5/2019,445.1111111
5/5/2020,445.1111111,5/6/2019,436.2222222
5/6/2020,436.2222222,5/7/2019,404.8888889
5/7/2020,404.8888889,5/8/2019,361.1111111
5/8/2020,361.1111111,5/9/2019,337.1111111
5/9/2020,337.1111111,5/10/2019,328.1111111
5/10/2020,328.1111111,5/11/2019,323.3333333
5/11/2020,323.3333333,5/12/2019,296.2222222
5/12/2020,296.2222222,5/13/2019,232.7777778
5/13/2020,232.7777778,5/14/2019,267.4444444
5/14/2020,267.4444444,5/15/2019,304.6666667
5/15/2020,304.6666667,5/16/2019,396.3333333
5/16/2020,396.3333333,5/17/2019,417.6666667
5/17/2020,417.6666667,5/18/2019,294.7777778
5/18/2020,294.7777778,5/19/2019,208.3333333
5/19/2020,208.3333333,5/20/2019,252.4444444
5/20/2020,252.4444444,5/21/2019,284.5555556
5/21/2020,284.5555556,5/22/2019,292.5555556
5/22/2020,292.5555556,5/23/2019,292.1111111
5/23/2020,292.1111111,5/24/2019,267.6666667
5/24/2020,267.6666667,5/25/2019,267.3333333
5/25/2020,267.3333333,5/26/2019,358.8888889
5/26/2020,358.8888889,5/27/2019,377.3333333
5/27/2020,377.3333333,5/28/2019,360.8888889
5/28/2020,360.8888889,5/29/2019,373
5/29/2020,373,5/30/2019,281.2222222
5/30/2020,281.2222222,5/31/2019,199.6666667
5/31/2020,199.6666667,6/1/2019,229.6666667
6/1/2020,229.6666667,6/2/2019,299.8888889
6/2/2020,299.8888889,6/3/2019,336.4444444
6/3/2020,336.4444444,6/4/2019,257.7777778
6/4/2020,257.7777778,6/5/2019,261.3333333
6/5/2020,261.3333333,6/6/2019,352.6666667
6/6/2020,352.6666667,6/7/2019,265.1111111
6/7/2020,265.1111111,6/8/2019,293.7777778
6/8/2020,293.7777778,6/9/2019,291.8888889
6/9/2020,291.8888889,6/10/2019,436
6/10/2020,436,6/11/2019,427.7777778
6/11/2020,427.7777778,6/12/2019,708.2222222
6/12/2020,708.2222222,6/13/2019,768.2222222
6/13/2020,768.2222222,6/14/2019,835.3333333
6/14/2020,835.3333333,6/15/2019,770
6/15/2020,770,6/16/2019,561.7777778
6/16/2020,561.7777778,6/17/2019,318.3333333
6/17/2020,318.3333333,6/18/2019,394.5555556
6/18/2020,394.5555556,6/19/2019,265.2222222
6/19/2020,265.2222222,6/20/2019,490.1111111
6/20/2020,490.1111111,6/21/2019,683.1111111
6/21/2020,683.1111111,6/22/2019,670.8888889
6/22/2020,670.8888889,6/23/2019,690
6/23/2020,690,6/24/2019,649.2222222
6/24/2020,649.2222222,6/25/2019,576.6666667
6/25/2020,576.6666667,6/26/2019,589
6/26/2020,589,6/27/2019,488.6666667
6/27/2020,488.6666667,6/28/2019,367.6666667
6/28/2020,367.6666667,6/29/2019,209.2222222
6/29/2020,209.2222222,6/30/2019,105.8888889
6/30/2020,105.8888889,7/1/2019,108.8888889
7/1/2020,108.8888889,7/2/2019,22
7/2/2020,22,7/3/2019,293.8888889
7/3/2020,293.8888889,7/4/2019,320.4444444
7/4/2020,320.4444444,7/5/2019,445
7/5/2020,445,7/6/2019,460.7777778
7/6/2020,460.7777778,7/7/2019,533.8888889
7/7/2020,533.8888889,7/8/2019,537.6666667
7/8/2020,537.6666667,7/9/2019,557.3333333
7/9/2020,557.3333333,7/10/2019,452.4444444
7/10/2020,452.4444444,7/11/2019,448.2222222
7/11/2020,448.2222222,7/12/2019,429.2222222
7/12/2020,429.2222222,7/13/2019,454.6666667
7/13/2020,454.6666667,7/14/2019,417.8888889
7/14/2020,417.8888889,7/15/2019,359.1111111
7/15/2020,359.1111111,7/16/2019,277.1111111
7/16/2020,277.1111111,7/17/2019,388.3333333
7/17/2020,388.3333333,7/18/2019,460.4444444
7/18/2020,460.4444444,7/19/2019,357.7777778
7/19/2020,357.7777778,7/20/2019,356.5555556
7/20/2020,356.5555556,7/21/2019,368.3333333
7/21/2020,368.3333333,7/22/2019,431.5555556
7/22/2020,431.5555556,7/23/2019,532.8888889
7/23/2020,532.8888889,7/24/2019,519.5555556
7/24/2020,519.5555556,7/25/2019,440.3333333
7/25/2020,440.3333333,7/26/2019,388.2222222
7/26/2020,388.2222222,7/27/2019,374.2222222
7/27/2020,374.2222222,7/28/2019,233.7777778
7/28/2020,233.7777778,7/29/2019,219
7/29/2020,219,7/30/2019,280.2222222
7/30/2020,280.2222222,7/31/2019,254.6666667
7/31/2020,254.6666667,8/1/2019,184.7777778
8/1/2020,184.7777778,8/2/2019,206.8888889
8/2/2020,206.8888889,8/3/2019,82.33333333
8/3/2020,82.33333333,8/4/2019,58.44444444
8/4/2020,58.44444444,8/5/2019,182
8/5/2020,182,8/6/2019,260.3333333
8/6/2020,260.3333333,8/7/2019,233.2222222
8/7/2020,233.2222222,8/8/2019,209.5555556
8/8/2020,209.5555556,8/9/2019,181.6666667
8/9/2020,181.6666667,8/10/2019,164.2222222
8/10/2020,164.2222222,8/11/2019,362.3333333
8/11/2020,362.3333333,8/12/2019,383.7777778
8/12/2020,383.7777778,8/13/2019,363.2222222
8/13/2020,363.2222222,8/14/2019,366.3333333
8/14/2020,366.3333333,8/15/2019,378.7777778
8/15/2020,378.7777778,8/16/2019,420.8888889
8/16/2020,420.8888889,8/17/2019,494.6666667
8/17/2020,494.6666667,8/18/2019,411.4444444
8/18/2020,411.4444444,8/19/2019,416.4444444
8/19/2020,416.4444444,8/20/2019,459.7777778
8/20/2020,459.7777778,8/21/2019,214
8/21/2020,214,8/22/2019,221.7777778
8/22/2020,221.7777778,8/23/2019,314.3333333
8/23/2020,314.3333333,8/24/2019,428.1111111
8/24/2020,428.1111111,8/25/2019,249.6666667
8/25/2020,249.6666667,8/26/2019,360.7777778
8/26/2020,360.7777778,8/27/2019,303.5555556
8/27/2020,303.5555556,8/28/2019,218.1111111
8/28/2020,218.1111111,8/29/2019,269.2222222
8/29/2020,269.2222222,8/30/2019,241.2222222
8/30/2020,241.2222222,8/31/2019,286.8888889
8/31/2020,286.8888889,9/1/2019,431.8888889
9/1/2020,431.8888889,9/2/2019,798.1111111
9/2/2020,798.1111111,9/3/2019,829.3333333
9/3/2020,829.3333333,9/4/2019,591.8888889
9/4/2020,591.8888889,9/5/2019,178.1111111
9/5/2020,178.1111111,9/6/2019,264.4444444
9/6/2020,264.4444444,9/7/2019,228
9/7/2020,228,9/8/2019,546
9/8/2020,546,9/9/2019,649.4444444
9/9/2020,649.4444444,9/10/2019,512.1111111
9/10/2020,512.1111111,9/11/2019,276
9/11/2020,276,9/12/2019,439.7777778
9/12/2020,439.7777778,9/13/2019,639.8888889
9/13/2020,639.8888889,9/14/2019,677
9/14/2020,677,9/15/2019,394.1111111
9/15/2020,394.1111111,9/16/2019,432.6666667
9/16/2020,432.6666667,9/17/2019,443.8888889
9/17/2020,443.8888889,9/18/2019,180.8888889
9/18/2020,180.8888889,9/19/2019,474
9/19/2020,474,9/20/2019,473.8888889
9/20/2020,473.8888889,9/21/2019,252.8888889
9/21/2020,252.8888889,9/22/2019,267.5555556
9/22/2020,267.5555556,9/23/2019,384.5555556
9/23/2020,384.5555556,9/24/2019,171.3333333
9/24/2020,171.3333333,9/25/2019,163
9/25/2020,163,9/26/2019,311.1111111
9/26/2020,311.1111111,9/27/2019,233.6666667
9/27/2020,233.6666667,9/28/2019,222.1111111
9/28/2020,222.1111111,9/29/2019,335.2222222
9/29/2020,335.2222222,9/30/2019,97.33333333
9/30/2020,97.33333333,10/1/2019,0
10/1/2020,0,10/2/2019,0
10/2/2020,0,10/3/2019,0
10/3/2020,0,10/4/2019,0
10/4/2020,0,10/5/2019,0
10/5/2020,0,10/6/2019,0
10/6/2020,0,10/7/2019,0
10/7/2020,0,10/8/2019,0
10/8/2020,0,10/9/2019,0
10/9/2020,0,10/10/2019,0
10/10/2020,0,10/11/2019,0
10/11/2020,0,10/12/2019,0
10/12/2020,0,10/13/2019,0
10/13/2020,0,10/14/2019,0
10/14/2020,0,10/15/2019,0
10/15/2020,0,10/16/2019,0
10/16/2020,0,10/17/2019,0
10/17/2020,0,10/18/2019,0
10/18/2020,0,10/19/2019,0
10/19/2020,0,10/20/2019,0
10/20/2020,0,10/21/2019,0
10/21/2020,0,10/22/2019,0
10/22/2020,0,10/23/2019,0
10/23/2020,0,10/24/2019,0
10/24/2020,0,10/25/2019,0
10/25/2020,0,10/26/2019,0
10/26/2020,0,10/27/2019,0
10/27/2020,0,10/28/2019,0
10/28/2020,0,10/29/2019,0
10/29/2020,0,10/30/2019,0
10/30/2020,0,10/31/2019,0
10/31/2020,0,11/1/2019,0
11/1/2020,0,11/2/2019,0
11/2/2020,0,11/3/2019,0
11/3/2020,0,11/4/2019,0
11/4/2020,0,11/5/2019,0
11/5/2020,0,11/6/2019,0
11/6/2020,0,11/7/2019,0
11/7/2020,0,11/8/2019,0
11/8/2020,0,11/9/2019,0
11/9/2020,0,11/10/2019,0
11/10/2020,0,11/11/2019,0
11/11/2020,0,11/12/2019,0
11/12/2020,0,11/13/2019,0
11/13/2020,0,11/14/2019,0
11/14/2020,0,11/15/2019,0
11/15/2020,0,11/16/2019,0
11/16/2020,0,11/17/2019,0
11/17/2020,0,11/18/2019,0
11/18/2020,0,11/19/2019,0
11/19/2020,0,11/20/2019,0
11/20/2020,0,11/21/2019,0
11/21/2020,0,11/22/2019,0
11/22/2020,0,11/23/2019,0
11/23/2020,0,11/24/2019,0
11/24/2020,0,11/25/2019,0
11/25/2020,0,11/26/2019,0
11/26/2020,0,11/27/2019,0
11/27/2020,0,11/28/2019,0
11/28/2020,0,11/29/2019,0
11/29/2020,0,11/30/2019,361.3333333
11/30/2020,361.3333333,12/1/2019,553.7777778
12/1/2020,553.7777778,12/2/2019,510.8888889
12/2/2020,510.8888889,12/3/2019,525
12/3/2020,525,12/4/2019,423.6666667
12/4/2020,423.6666667,12/5/2019,574.6666667
12/5/2020,574.6666667,12/6/2019,645.2222222
12/6/2020,645.2222222,12/7/2019,624.4444444
12/7/2020,624.4444444,12/8/2019,671.7777778
12/8/2020,671.7777778,12/9/2019,548.4444444
12/9/2020,548.4444444,12/10/2019,568.8888889
12/10/2020,568.8888889,12/11/2019,592.4444444
12/11/2020,592.4444444,12/12/2019,510.6666667
12/12/2020,510.6666667,12/13/2019,518.2222222
12/13/2020,518.2222222,12/14/2019,617.5555556
12/14/2020,617.5555556,12/15/2019,580
12/15/2020,580,12/16/2019,561.7777778
12/16/2020,561.7777778,12/17/2019,571.4444444
12/17/2020,571.4444444,12/18/2019,551.2222222
12/18/2020,551.2222222,12/19/2019,596.1111111
12/19/2020,596.1111111,12/20/2019,636.1111111
12/20/2020,636.1111111,12/21/2019,650.4444444
12/21/2020,650.4444444,12/22/2019,708.6666667
12/22/2020,708.6666667,12/23/2019,706.3333333
12/23/2020,706.3333333,12/24/2019,715.7777778
12/24/2020,715.7777778,12/25/2019,677.8888889
12/25/2020,677.8888889,12/26/2019,680.3333333
12/26/2020,680.3333333,12/27/2019,631.8888889
12/27/2020,631.8888889,12/28/2019,619.7777778
12/28/2020,619.7777778,12/29/2019,613.3333333
12/29/2020,613.3333333,12/30/2019,597
12/30/2020,597,12/31/2019,582.3333333
12/31/2020,582.3333333,,
